,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Id,CodigoUFEmitente,ChaveAcesso,DigitoVerificador,NaturezaOperacao,FormaPagamento,ModeloDocumentoFiscal,Serie,Numero,DataEmissao,TipoOperacao,CodigoCidadeFatoGerador,TipoEmissao,Finalidade,CNPJEmitente,NomeEmitente,CodigoProduto,DescricaoProduto,NCMProduto,CFOPProduto,UnidadeComercialProduto,QuantidadeComercialProduto,ValorUnitarioProduto,TOTAIS_ValorProdutos,ICMS_OrigemProduto,ICMS_TributacaoProduto,ICMS_ModalidadeBC,ICMS_ModalidadeBCST,ICMS_Aliquota,ICMS_Valor,ICMS_ValorBC,ICMS_ValorBCST,ICMS_PercentualMargemBCST,ICMS_PercentualReducaoBCST,ICMS_AliquotaICMSST,ICMS_ValorICMSST,IPI_Enquadramento,IPI_CNPJProdutor,IPI_SeloControle,IPI_SeloQuantidade,IPI_CodigoEnquadramento,IPI_CodigoSituacaoTributaria,IPI_ValorBC,IPI_Aliquota,IPI_Valor,IPI_Unidade,IPI_ValorUnitario,II_ValorBC,II_ValorDespesasAduaneiras,II_Valor,II_ValorIOF,PIS_CodigoSituacaoTributaria,PIS_ValorBC,PIS_Aliquota,PIS_Valor,PIS_QuantidadeVendida,PIS_ValorAliquota,COFINS_CodigoSituacaoTributaria,COFINS_ValorBC,COFINS_Aliquota,COFINS_Valor,COFINS_QuantidadeVendida,COFINS_ValorAliquota,TOTAIS_ValorProEIPI
NFe42131207384807000467550010000027091000400051,42,00040005,1,VENDA A ORDEM,1,55,1,2709,12/24/2013,1,4209102,1,1,07384807000467,BINARIO DISTRIBUIDORA DE EQUIPAMENTOS ELETRONICOS LTDA.,CBL-EX-PWR-C13-BR.,AC POWER CABLE - BRAZIL (10A/250V, 2.5M),85444200,6119,UN,4,182.87,188909.67,1,00,3,0,17.00,130.57,768.05,0.00,0.00,0.00,0.00,0.00,0,Não informado,0,0,0,50,731.48,5.00,36.57,0,0.00,0.00,0.00,0.00,0.00,01,731.48,1.65,12.07,0,0.00,01,731.48,7.60,55.59,0,0.00,198667.31
NFe42131207384807000467550010000027091000400051,42,00040005,1,VENDA A ORDEM,1,55,1,2709,12/24/2013,1,4209102,1,1,07384807000467,BINARIO DISTRIBUIDORA DE EQUIPAMENTOS ELETRONICOS LTDA.,EX-SFP-1GE-SX.,SFP 1000BASE-SX GIGABIT ETHERNET OPTICS, 850NM FOR UPTO 550M TRANSMISSION ON MMF,85176299,6119,UN,2,1600.16,188909.67,1,00,3,0,17.00,652.86,3840.38,0.00,0.00,0.00,0.00,0.00,0,Não informado,0,0,0,50,3200.32,20.00,640.06,0,0.00,0.00,0.00,0.00,0.00,01,3200.32,1.65,52.81,0,0.00,01,3200.32,7.60,243.22,0,0.00,198667.31
NFe42131207384807000467550010000027091000400051,42,00040005,1,VENDA A ORDEM,1,55,1,2709,12/24/2013,1,4209102,1,1,07384807000467,BINARIO DISTRIBUIDORA DE EQUIPAMENTOS ELETRONICOS LTDA.,RACK,RACKS REMOTOS,84735090,6119,UN,1,1256.42,188909.67,0,00,3,0,17.00,213.59,1256.42,0.00,0.00,0.00,0.00,0.00,Nenhum,Não informado,0,0,0,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,01,1256.42,1.65,20.73,0,0.00,01,1256.42,7.60,95.49,0,0.00,198667.31
NFe42131207384807000467550010000027091000400051,42,00040005,1,VENDA A ORDEM,1,55,1,2709,12/24/2013,1,4209102,1,1,07384807000467,BINARIO DISTRIBUIDORA DE EQUIPAMENTOS ELETRONICOS LTDA.,INFRA_PRODUTO_1,MATERIAL DE INFRAESTRUTURA,85177099,6119,UN,1,107145.93,188909.67,0,00,3,0,17.00,18214.81,107145.93,0.00,0.00,0.00,0.00,0.00,Nenhum,Não informado,0,0,0,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,01,107145.93,1.65,1767.91,0,0.00,01,107145.93,7.60,8143.09,0,0.00,198667.31
NFe42131207384807000467550010000027091000400051,42,00040005,1,VENDA A ORDEM,1,55,1,2709,12/24/2013,1,4209102,1,1,07384807000467,BINARIO DISTRIBUIDORA DE EQUIPAMENTOS ELETRONICOS LTDA.,EX-RMK2.,RACK MOUNT KIT FOR EX2200-C,85177099,6119,UN,3,84.76,188909.67,1,00,3,0,17.00,47.55,279.71,0.00,0.00,0.00,0.00,0.00,0,Não informado,0,0,0,50,254.28,10.00,25.43,0,0.00,0.00,0.00,0.00,0.00,01,254.28,1.65,4.2,0,0.00,01,254.28,7.60,19.33,0,0.00,198667.31
NFe42131207384807000467550010000027091000400051,42,00040005,1,VENDA A ORDEM,1,55,1,2709,12/24/2013,1,4209102,1,1,07384807000467,BINARIO DISTRIBUIDORA DE EQUIPAMENTOS ELETRONICOS LTDA.,EX2200-C-12P-2G.,EX2200-C COMPACT, FANLESS SWITCH WITH 12-PORT 10/100/1000BASET (12-PORTS POE+) AND 2 DUAL-PURPOSE (10/100/1000BASET OR S,85176239,6119,LC,3.0000,2425.82,188909.67,1,00,3,0,17.00,1422.74,8369.08,0.00,0.00,0.00,0.00,0.00,0,Não informado,0,0,0,50,7277.46,15.00,1091.62,0,0.00,0.00,0.00,0.00,0.00,01,7277.46,1.65,120.08,0,0.00,01,7277.46,7.60,553.09,0,0.00,198667.31
NFe42131207384807000467550010000027091000400051,42,00040005,1,VENDA A ORDEM,1,55,1,2709,12/24/2013,1,4209102,1,1,07384807000467,BINARIO DISTRIBUIDORA DE EQUIPAMENTOS ELETRONICOS LTDA.,SRX100-RMK.,SRX100 19" RACK MOUNT KIT - HOLDS TWO UNITS,85177091,6119,UN,1,808.16,188909.67,1,00,3,0,17.00,151.13,888.98,0.00,0.00,0.00,0.00,0.00,0,Não informado,0,0,0,50,808.16,10.00,80.82,0,0.00,0.00,0.00,0.00,0.00,01,808.16,1.65,13.33,0,0.00,01,808.16,7.60,61.42,0,0.00,198667.31
NFe42131207384807000467550010000027101638000273,42,63800027,3,VENDA A ORDEM,1,55,1,2710,12/24/2013,1,4209102,1,1,07384807000467,BINARIO DISTRIBUIDORA DE EQUIPAMENTOS ELETRONICOS LTDA.,XR-520.,XR AP WITH INTEGRATED CONTROLLER AND 2 300MBPS 802.11N RADIOS,85176241,6119,UN,8,2538.03,116493.9,1,00,3,0,17.00,3969.48,23349.88,0.00,0.00,0.00,0.00,0.00,0,Não informado,0,0,0,50,20304.24,15.00,3045.64,0,0.00,0.00,0.00,0.00,0.00,01,20304.24,1.65,335.02,0,0.00,01,20304.24,7.60,1543.12,0,0.00,120574.71
NFe42131207384807000467550010000027101638000273,42,63800027,3,VENDA A ORDEM,1,55,1,2710,12/24/2013,1,4209102,1,1,07384807000467,BINARIO DISTRIBUIDORA DE EQUIPAMENTOS ELETRONICOS LTDA.,XE-500-MOUNT.,MOUNTING BRACKET AND 15/16" T-BAR CLIPS FOR XR-520 WIRELESS APS,85177099,6119,UN,8,55.28,116493.9,1,00,3,0,17.00,82.7,486.46,0.00,0.00,0.00,0.00,0.00,0,Não informado,0,0,0,50,442.24,10.00,44.22,0,0.00,0.00,0.00,0.00,0.00,01,442.24,1.65,7.3,0,0.00,01,442.24,7.60,33.61,0,0.00,120574.71
NFe42131207384807000467550010000027101638000273,42,63800027,3,VENDA A ORDEM,1,55,1,2710,12/24/2013,1,4209102,1,1,07384807000467,BINARIO DISTRIBUIDORA DE EQUIPAMENTOS ELETRONICOS LTDA.,XS-PWR-BR.,BRAZIL POWER CORD.,85444200,6119,UN,8,6.14,116493.9,1,00,3,0,17.00,8.77,51.58,0.00,0.00,0.00,0.00,0.00,0,Não informado,0,0,0,50,49.12,5.00,2.46,0,0.00,0.00,0.00,0.00,0.00,01,49.12,1.65,0.81,0,0.00,01,49.12,7.60,3.73,0,0.00,120574.71
